type,price,beds,bath,propertysqft,locality,zipcode,distance_to_center,distance_to_wall_street
House,765000,3,4,2205.0,Manhattan,10304,18.67123679574356,12.601224819994691
Co-op,259000,1,1,750.0,Brooklyn,11203,12.67686418960217,8.354799126929604
Multi-family home,1500000,8,3,3135.0,Manhattan,11226,12.783842144857346,8.264709405707073
Condo,850000,2,2,1005.0,Manhattan,10040,11.565446985004725,17.765753526648098
Condo,99000,1,1,1155.0,Brooklyn,11236,15.290779839405452,11.92540717197875
Co-op,535000,1,1,750.0,Brooklyn,11218,12.66650896998156,7.417997235573893
Multi-family home,849998,4,2,2342.0,Manhattan,10312,27.75648101003785,21.79031738277696
Multi-family home,998000,5,3,1574.0,Manhattan,11378,7.988210876095688,8.778207663998781
Multi-family home,1500000,3,2,3262.0,Manhattan,11210,14.223389048581401,9.556539306975534
Multi-family home,875000,6,3,2860.0,Manhattan,10466,18.743966706237924,24.692686793568992
Condo,2350000,1,2,1144.0,Manhattan,10011,2.3229933926166493,4.33611668943289
Multi-family home,850000,5,2,1908.0,Manhattan,10466,19.382978954902384,25.34800621959308
Co-op,1200000,3,2,1440.0,Manhattan,10021,2.156001821812758,7.9684621918199126
Condo,12000000,4,4,3809.0,Manhattan,10013,4.861744984985835,1.339820730920109
Co-op,1300000,2,2,1440.0,Manhattan,10024,3.4820037681794545,9.664534549633615
Co-op,339000,3,1,250.0,Manhattan,10017,1.5362671893131494,5.670407136454819
Multi-family home,875000,7,5,2680.0,Manhattan,10472,11.870504133595846,17.4629232285288
Multi-family home,799000,7,2,2296.0,Manhattan,10472,12.576768520501476,18.216627423884745
House,285000,2,1,1380.0,Manhattan,11429,20.9816300511403,22.368143596818005
Multi-family home,2499000,5,4,1340.0,Manhattan,11205,7.0365616722524145,3.280510735678273
Townhouse,795000,4,2,1440.0,Manhattan,10463,14.514372393977673,20.687346309453687
Co-op,1799995,2,2,1440.0,Manhattan,10021,2.6037332797412787,8.362867980894904
House,699900,3,2,1470.0,Manhattan,10314,21.781966878372895,16.324956325723193
Townhouse,5295000,4,4,4600.0,Manhattan,11231,8.83081630325716,3.0250556622987324
Condo,2265000,2,2,1123.0,Manhattan,10002,5.400403526137396,1.5612684402313861
Co-op,459000,2,1,950.0,Queens,11354,13.412417476817282,16.573412726282267
House,879000,4,2,2230.0,Manhattan,11426,23.191110702602277,25.102265082386058
Condo,559000,1,1,679.0,Manhattan,10029,5.304747728501725,11.284208765932515
Multi-family home,869888,4,3,3262.0,Manhattan,11418,14.848640395389042,15.443152809905001
House,799888,3,2,2230.0,Manhattan,11379,8.944227429411592,9.462316308258092
House,749000,4,1,1040.0,Manhattan,10314,21.100925427252317,15.564836391540158
House,499000,2,3,2230.0,Manhattan,11412,20.761698397010317,21.3319820483169
House,1295000,3,4,2193.0,Manhattan,10024,3.4820037681794545,9.664534549633615
Co-op,400000,2,2,1150.0,Manhattan,10465,16.05730312229032,20.660043892757287
Condo,289000,1,1,666.0,Brooklyn,11207,14.388575383500667,11.948930756444582
Condo,699000,1,1,616.0,Brooklyn,11216,9.165056966992497,6.087545231643327
Condo,1355000,2,2,1002.0,Brooklyn,11216,9.165056966992497,6.087545231643327
Condo,1225000,2,2,882.0,Brooklyn,11216,9.165056966992497,6.087545231643327
Co-op,105000,3,1,656.0,Bronx,10462,14.583275994173654,20.42688319419975
House,300000,3,1,952.0,Brooklyn,11234,16.51524270410842,11.990777719628623
Multi-family home,799000,5,3,2400.0,Manhattan,10465,15.942576967615269,20.694792811606707
Co-op,202000,2,1,1453.0,Queens,11360,17.27864011424415,20.824276358647108
House,600000,5,2,2230.0,Manhattan,11218,12.996215574340262,7.707233016125548
Co-op,599000,3,1,1200.0,Brooklyn,11209,14.954782331170767,8.801010473208608
Condo,235000,2,1,860.0,Staten Island,10301,18.077333297588083,12.084705662977628
Co-op,319000,3,1,960.0,Manhattan,11362,21.569756149756717,24.323730139007548
Multi-family home,950000,12,6,3262.0,Manhattan,11385,9.640434966852098,9.110905271385787
Multi-family home,1088888,4,2,3262.0,Manhattan,11360,16.47068116169064,20.25424025155199
House,1250000,4,4,3300.0,Manhattan,10306,24.99279505789676,18.99998681340804
House,774888,3,2,960.0,Manhattan,10312,27.777479569369213,21.868876713523463
Co-op,105509,1,1,650.0,Bronx,10463,14.5331575207883,20.722779190354537
Multi-family home,995000,5,2,3262.0,Manhattan,11221,9.052359971711116,6.485798660073081
House,769000,4,2,1728.0,Manhattan,10465,15.595616173182389,20.310349085033923
Co-op,395995,2,1,1100.0,Bronx,10471,17.582496635782835,23.774428705582388
House,499999,2,1,1744.0,Manhattan,10464,19.535512406331183,24.72070992211752
Co-op,1649000,2,2,1440.0,Manhattan,10023,2.05631221304714,8.134489436348451
Co-op,365000,2,1,964.0,Queens,11415,14.296965259578565,15.157076168144464
House,635000,3,2,2230.0,Manhattan,11412,21.078997310827937,21.834048587287135
Co-op,149000,3,1,400.0,Manhattan,10009,3.467147170689427,3.1368256289441883
House,1099000,5,2,1760.0,Manhattan,11414,17.03707004996979,15.217327060677919
Multi-family home,1529999,6,5,2400.0,Manhattan,11420,17.590641925129606,17.410112575623273
House,675000,3,1,1404.0,Manhattan,10301,17.085984847593704,11.279162328097769
House,2650000,6,6,2230.0,Manhattan,11414,16.067862381718733,14.669284331235227
House,420000,3,1,2230.0,Manhattan,11417,14.624955641948443,13.924116997221871
Townhouse,559900,3,2,980.0,Manhattan,10309,32.591811059767096,26.6288248876847
House,549000,3,1,2230.0,Manhattan,11420,16.820032265468665,16.5039140036601
House,2295000,7,4,3632.0,Manhattan,10030,7.452761731763377,13.61162699669446
House,1150000,3,4,3000.0,Manhattan,10312,28.915803266320626,22.87550086644916
Co-op,235000,3,2,1400.0,Queens,11435,15.148464813714083,16.343772075964218
House,215000,4,2,2000.0,Manhattan,11207,12.774287483662299,10.827134850648415
House,299000,5,2,2230.0,Manhattan,11691,25.499369197291028,23.3160856382114
Condo,7495000,4,4,2888.0,Manhattan,10024,2.7438846716928476,8.899433392047317
Townhouse,2850000,4,4,4080.0,Manhattan,11103,5.59133573469468,9.932684623633806
Co-op,215000,2,2,747.0,Manhattan,10465,16.31776715346757,21.15828544261562
House,275000,2,1,1104.0,Manhattan,10461,15.98456709296198,21.301784011648863
Multi-family home,898000,6,3,2100.0,Manhattan,10306,25.596480560504727,19.54166429967616
Co-op,275000,2,1,900.0,Bronx,10461,16.993911599869786,22.497988722636084
House,599000,4,2,1682.0,Manhattan,11420,16.48583630824336,15.966236270123819
Condo,189000,1,1,730.0,Staten Island,10305,17.621161212140013,11.427705380759571
