type_Condo,type_House,type_Multi-family home,type_Townhouse,locality_Brooklyn,locality_Manhattan,locality_Queens,locality_Staten Island,zipcode,beds,bath,propertysqft,distance_to_center,distance_to_wall_street,price
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11204.0,3.0,2.0,1779.0,16.508459838689202,10.941100346666849,699000
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10301.0,3.0,1.0,400.0,14.922436627530091,8.995949392191923,164999
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11209.0,2.0,1.0,975.0,14.290678166470174,8.104369704455724,498000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10314.0,3.0,2.0,1310.0,19.3019108032406,13.583512601331517,674999
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10024.0,2.0,1.0,980.0,3.4336064181897137,9.60898477064329,1100000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10461.0,3.0,2.0,3080.0,15.071284738461925,20.74912247092103,995000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11217.0,2.0,2.0,1334.0,8.554247507121733,3.092559789533735,2250000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11372.0,3.0,1.0,964.0,9.111440450483958,12.23553648761781,189000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10001.0,2.0,2.0,1778.0,1.62600891405825,5.331280854311187,4250000
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11221.0,4.0,2.0,4087.0,8.423996448461164,6.866746630406014,999000
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11234.0,2.0,1.0,750.0,16.945480465886636,12.68551232890954,249999
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10021.0,6.0,8.0,4087.0,2.400672953259152,8.361951736321839,24800000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10012.0,3.0,2.0,2400.0,3.911449991452865,2.290012481212897,4250000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11361.0,6.0,5.0,2100.0,17.489224276773697,20.255142668082662,1990000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10019.0,3.0,2.0,1929.0,0.7457361166549241,6.745015941939094,1895000
